artist	song	video_id	confidence	source	score	duration	channel	title	alternates
*NSYNC	Merry Christmas, Happy Holidays	wKj92352UAE	high	search	89	278	*NSYNC	*NSYNC - Merry Christmas, Happy Holidays (Official HD Video)	QPZZrk_N0Pc 83 *NSYNC: *NSYNC - Merry Christmas, Happy Holidays (Official Animated Music Video) | 2te_vUGeL3U 48 Abraham Aliaga: *NSYNC - Merry Christmas, Happy Holidays (Official Video) [UHD 60fps] | 0Rxhr5eZSQs 43 GoldenMusic: *NSYNC - Merry Christmas, Happy Holidays (Remastered) [Audio HQ]
*NSYNC	Pop	TWZKw_MgUPI	high	search	89	239	*NSYNC	*NSYNC - Pop (Official HD Video)	OjWumgBAKHA 44 life + lyrics: *NSYNC - Pop (Lyrics) | pnwHd7nJcuI 41 Music Worm: *NSYNC - Pop (Lyric VIdeo) | w84r1BaPmoY 40 Kedrick Burton: *NSYNC ''Pop''
.38 Special	Caught Up In You	zg21Rkew874	high	search	95	239	38 Special	38 Special - Caught Up In You (Official Music Video)	8_2bofm90og 41 ♪FenderGibson Sounds♪: 38 Special | Caught Up In You (HQ) | v0_xIO4e_S8 40 Music: 38 Special - Caught Up In You | kMtMnRkYHBI 39 uraass2utube: 38 special - Caught Up In You
.38 Special	Hold On Loosely	ikHvz4zfZrw	high	search	78	280	38 Special	Hold On Loosely	vJtf7R_oVaw 65 38 Special: 38 Special - Hold On Loosely (Live) (Official Music Video) | QvSmWeEOObA 53 38 Special: 38 Special - Hold On Loosely (Live) | tFUi8Wa03hc 40 RainbowDash72: Hold On Loosely - .38 Special (Lyrics)
2 Unlimited	Get Ready For This	iPOmFUid3vA	high	search	95	221	2 Unlimited Official	2 Unlimited - Get Ready For This (Official Music Video)	-PY5rQY4J1I 76 2 Unlimited Official: Get Ready For This | hMsCI2DmxPw 62 2unlimited-fanpage: 2 unlimited - Get Ready For This | 7zq99TF0BnM 41 77c715d881fc: 2 Unlimited - Get Ready For This
3 Doors Down	Kryptonite	xPU8OAjjS4k	high	search	95	235	3doorsdown	3 Doors Down - Kryptonite (Official Video)	m3lSLLklu7Q 83 3doorsdown: 3 Doors Down - Kryptonite (AOL Sessions) | NtBwVWWa3Ss 78 3doorsdown: Kryptonite | G9vlxepCpyE 76 3doorsdown: Kryptonite
311	Don't Tread On Me	5KbR0jg48YI	high	search	95	186	311	311 - Don't Tread On Me (Official Video)	UAfGqNe3SOk 52 311Archive: Don't Tread on Me | GIhoRMA5js0 41 BophatDude: 311-Don't Tread On Me | UwmYom3Q1nA 40 Jan killa: 311 - Don't Tread On Me (HQ)
311	My Stoney Baby	uKFmDxt5tvE	high	search	79	225	311	My Stoney Baby	GiowVQMciNw 62 A Brodel 311: 311 - My Stoney Baby 311 Music Album Concert N.Y.C 10/1/22 | xVtwo4EsZ84 60 A Brodel 311: 311 - My Stoney Baby @The Hive 11/11/20 | EKcUezudKHE 33 Nobelwars92: My Stoney Baby
3Quency	This Christmas	o0dfW94U2Go	high	search	95	159	3Quency	3Quency - This Christmas (3Q Version - Official Audio)	X3P9LepHsJY 49 Positive vibes: 3quency - this Christmas (3Q version - official audio)  | fwLnCveYvJ4 39 LyriczJustForYou: 3Quency - This Christmas (3Q Version) [Lyrics] | FGmaJxLI79M 28 3Quency: 3Quency - Once I Was A Good Girl (Official Video)
5 Seconds Of Summer	BLENDER	8ul1PBMZEnM	low	search	54	148	5SOS	5 Seconds of Summer - BLENDER (Official Visualizer)	8RaeTPo5a_c 47 5SOS: 5 Seconds of Summer - BLENDER | YTKy6vxVqI4 45 Polar Records: 5 Seconds of Summer - Blender (Lyrics) | rY28D_rTj40 43 Unique Sound: 5 Seconds of Summer - Blender (Lyrics)
5 Seconds Of Summer	Everyone’s A Star!	itHBJU_9gDI	low	search	55	215	5SOS	5 Seconds of Summer - EVERYONE'S A STAR! (Official Video)	oaJFYsO85_o 46 5SOS: 5 Seconds of Summer - Everyone’s A Star! (Visualizer) | HFMDMyNgBTE 43 Gold Coast Music: 5 Seconds of Summer - Everyone’s A Star! (Lyrics) | BtB85C8u3kI 40 Brian: 5 Seconds Of Summer Performs Everyone's a Star On The Today Show
5 Seconds Of Summer	Youngblood	-RJSbO8UZVY	low	search	55	230	5SOS	5 Seconds of Summer - Youngblood (Official Video)	Jqs5EaAaueA 45 5SOS: 5 Seconds of Summer - Youngblood (Alt Version) | 1ncISVNNzZg 41 RockHype: 5 Seconds of Summer - Youngblood | CXNv4_wQjKQ 36 5SOS: Youngblood
98°	Give Me Just One Night (Una Noche)	PYb2IdrN-ns	low	search	72	204	98 Degrees	98º - Give Me Just One Night (Una Noche) (Official Music Video)	37gzm3YRjvc 62 98 Degrees: 98º - Give Me Just One Night (Una Noche) (Lyric Video) | jjYedw67Lps 41 d7tvradio3: 98 Degrees Give Me Just One Night | GjAd4NduqIM 39 D23AP: 98 Degrees: Give Me Just One Night (Una Noche)
A Great Big World	Wrap Me Up Under the Christmas Tree	Js9CkdwZRVo	high	search	95	195	A Great Big World	A Great Big World - Wrap Me Up Under the Christmas Tree (Official Audio)	bskzSvHSpGk 86 A Great Big World: A Great Big World - Wrap Me Up Under the Christmas Tree (Lyric Video) | UfvkuG01zCk 54 A Great Big World: A Great Big World - Wrap Me Up Under the Christmas Tree (Live Band Performance) | 4kalSpPXp_Q 45 A Great Big World: A Great Big World - Wrap Me Up Under the Christmas Tree (Acoustic Performance)
A*Teens	I Wish It Could Be Christmas Everyday	J9muTuiNNwg	high	search	79	191	A*Teens Official	I Wish It Could Be Christmas Everyday	KzyLnI2UWDI 50 A Teens Music: CD 01 - 05 I Wish It Could Be Christmas Everyday (Sunday Retro Mix) | nShAEdCfYbw 41 Juancho Fuentes Bustos: A-Teens - I Wish It Could Be Christmas EveryDay (Extended Version) | PxTea7ZfxMo 40 J Counts: I Wish it Could be Christmas Everyday A Teens
A-ha	Take On Me	djV11Xbc914	high	search	97	244	a-ha	a-ha - Take On Me (Official Video) [4K]	-iKeUC5_Wyw 79 a-ha: Take on Me (Video Version) (2015 Remaster) | jg5mXCCbd0U 76 a-ha: Take On Me (MTV Unplugged / Edit) | kmDBDn8Ju6w 41 7clouds Acoustic: a-ha - Take On Me (Lyrics)
Aaron Carter	Aaron's Party (Come Get It)	y0p3jn7ODuc	low	search	72	204	Official Aaron Carter	Aaron Carter - Aaron's Party (Come Get It) (Official Video)	LqdrhjErPSw 42 The 4K Channel: Aaron Carter - Aaron's Party (Come Get It) (4K Remaster 60 FPS) | FsSwXRqrJ0U 41 musicandlyricz: Aaron's Party (Come Get It) w/ Lyrics - Aaron Carter | _kOjKU_k2t8 38 2000X-50X: Aaron Carter - Aaron's Party (Come Get It)
